                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91805,                0.56179,                0.89361,                0.99336,                0.95471,                0.97235,                0.69169,                 1.0389,                0.58353,                0.91519,                 0.0001,                 0.0001,                 0.0001
                      2,                0.95854,                0.56955,                0.90195,                 0.9814,                0.94418,                0.96694,                 0.6778,                 1.0713,                0.61308,                0.91498,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.0505,                0.77617,                0.92145,                0.97371,                0.94522,                0.96266,                 0.6584,                 1.1493,                0.60807,                0.94447,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.0461,                0.67628,                0.95097,                0.98488,                0.95056,                0.97051,                 0.6935,                 1.0337,                0.62631,                0.91833,             0.00032338,             0.00032338,             0.00032338
                      5,                 1.0909,                0.60348,                0.95208,                0.98354,                0.95056,                0.97124,                0.67267,                 1.0758,                0.60951,                0.92868,             0.00035032,             0.00035032,             0.00035032
                      6,                  1.067,                0.61102,                0.92246,                0.99665,                0.94825,                0.97242,                 0.6761,                  1.077,                0.60506,                0.92188,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.0579,                0.60596,                0.92019,                 0.9917,                0.93939,                0.97056,                0.70243,                 1.0057,                0.58141,                0.90649,             0.00033292,             0.00033292,             0.00033292
                      8,                  1.072,                0.61206,                0.93411,                0.98994,                0.94153,                0.97173,                0.69819,                 1.0139,                0.57834,                0.91044,             0.00028858,             0.00028858,             0.00028858
                      9,                 1.0401,                0.58629,                 0.9286,                0.99152,                0.94896,                0.97182,                0.69173,                 1.0296,                0.55684,                0.91502,             0.00022048,             0.00022048,             0.00022048
                     10,                 1.0645,                0.67064,                0.93681,                0.98843,                0.95372,                0.97241,                0.70167,                0.99864,                0.53815,                0.90569,             0.00012862,             0.00012862,             0.00012862
