                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2081,                0.79784,                0.96577,                0.99441,                0.85143,                0.95153,                0.65744,                 1.1055,                 1.6905,                 0.9089,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.1925,                0.79209,                 0.9771,                0.99079,                0.85748,                0.94915,                0.63063,                  1.162,                 1.6427,                0.92615,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.2325,                0.97664,                0.96604,                0.99638,                0.87736,                0.95615,                 0.6773,                 1.0555,                  1.528,                0.89824,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.1603,                 0.8119,                 0.9813,                0.99646,                0.89734,                0.95995,                0.68054,                 1.0578,                 1.5005,                 0.9035,             0.00032338,             0.00032338,             0.00032338
                      5,                 1.1735,                 0.7116,                0.96866,                 0.9947,                0.89778,                0.95716,                0.68047,                 1.0846,                 1.4186,                 0.9082,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.1387,                0.70514,                0.94007,                0.99649,                0.90636,                0.96041,                0.68608,                 1.0457,                 1.3199,                0.90443,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.1628,                0.70351,                 0.9492,                0.99484,                0.92168,                0.96206,                0.68768,                 1.0617,                 1.2373,                0.91116,             0.00033292,             0.00033292,             0.00033292
                      8,                 1.1728,                0.71063,                0.95824,                0.99144,                0.92338,                0.96224,                0.67754,                   1.07,                 1.2059,                0.92024,             0.00028858,             0.00028858,             0.00028858
                      9,                 1.1063,                 0.6762,                0.94729,                0.99496,                0.94364,                0.96657,                0.69187,                 1.0301,                 1.0014,                0.91339,             0.00022048,             0.00022048,             0.00022048
                     10,                  1.137,                0.78007,                 0.9555,                0.99468,                0.94737,                0.96971,                 0.7019,                 1.0208,                0.90724,                0.90945,             0.00012862,             0.00012862,             0.00012862
