                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0103,                0.73205,                0.91795,                0.92836,                0.81506,                0.90345,                0.62752,                 1.0556,                0.78623,                0.93142,                0.00012,                0.00012,                0.00012
                      2,                 1.0001,                0.73297,                0.91854,                0.92991,                0.81754,                0.89995,                0.61921,                 1.0735,                0.79163,                0.93593,             0.00023426,             0.00023426,             0.00023426
                      3,                0.97899,                0.71662,                 0.9097,                 0.9307,                0.81029,                 0.8876,                0.61158,                 1.1034,                0.82089,                0.94188,              0.0003208,              0.0003208,              0.0003208
                      4,                 1.0079,                0.72698,                0.91223,                 0.9139,                0.81258,                0.89204,                 0.6199,                 1.0932,                0.77495,                0.94647,             0.00037962,             0.00037962,             0.00037962
                      5,                 1.0091,                0.71258,                0.91931,                0.90825,                0.83312,                0.90044,                0.58791,                 1.1832,                0.79008,                0.97453,             0.00041072,             0.00041072,             0.00041072
                      6,                 0.9877,                0.71131,                0.91036,                0.88949,                0.83825,                0.89924,                0.62641,                 1.0703,                0.75509,                0.94687,              0.0004141,              0.0004141,              0.0004141
                      7,                0.99407,                0.70675,                0.91877,                0.91249,                0.83184,                0.90622,                0.63246,                 1.0715,                0.72438,                0.94305,             0.00038976,             0.00038976,             0.00038976
                      8,                 1.0652,                 0.7397,                0.93434,                0.93021,                 0.8344,                0.90171,                0.62323,                 1.0962,                0.73834,                   0.95,              0.0003377,              0.0003377,              0.0003377
                      9,                  1.046,                0.71903,                0.93022,                0.93306,                0.84596,                0.91283,                0.64514,                 1.0309,                 0.7082,                0.92959,             0.00025792,             0.00025792,             0.00025792
                     10,                  1.062,                0.73098,                0.93017,                0.92024,                0.83569,                 0.9038,                0.64059,                  1.043,                 0.6996,                0.93474,             0.00015042,             0.00015042,             0.00015042
