                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3699,                 3.6046,                 1.6111,                 0.0173,                0.17384,                 0.0388,                0.01453,                  1.543,                 3.3517,                 1.1255,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.7809,                 2.7163,                  1.209,                0.07175,                0.72089,                0.44632,                0.18019,                 1.6292,                 2.9723,                 1.0388,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.5863,                 1.9151,                 1.0452,                0.61889,                0.81325,                0.77859,                 0.3744,                 1.5428,                 2.4987,                 1.0204,             0.00027268,             0.00027268,             0.00027268
                      4,                 1.3308,                 1.2827,                  1.005,                0.09333,                 0.9378,                0.88288,                0.50471,                 1.3309,                  2.432,                0.94027,             0.00032338,             0.00032338,             0.00032338
                      5,                 1.3361,                 1.0729,                 1.0106,                0.84725,                0.91115,                0.92764,                0.56535,                 1.2514,                 2.3387,                0.91614,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.2795,                0.98301,                0.98894,                0.99661,                0.66667,                 0.9305,                0.60561,                 1.1809,                 2.1961,                 0.9076,              0.0003535,              0.0003535,              0.0003535
                      7,                  1.298,                0.94324,                0.99868,                0.99501,                0.63556,                0.92657,                0.60576,                 1.1589,                 2.1548,                0.90849,             0.00033292,             0.00033292,             0.00033292
                      8,                 1.2666,                0.91303,                0.98671,                 0.9715,                0.81559,                0.91522,                0.59727,                 1.1423,                 2.1849,                0.90951,             0.00028858,             0.00028858,             0.00028858
                      9,                 1.2173,                0.84857,                0.97275,                0.99753,                0.64477,                0.93269,                0.62254,                 1.1288,                 1.9406,                0.91281,             0.00022048,             0.00022048,             0.00022048
                     10,                 1.2291,                0.96603,                0.98212,                0.99613,                0.82134,                0.94658,                0.64706,                  1.115,                 1.7395,                0.91269,             0.00012862,             0.00012862,             0.00012862
