                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0317,                0.63822,                0.92166,                0.99139,                0.94418,                0.96576,                0.68071,                 1.0603,                0.89033,                0.91779,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.0376,                0.63331,                0.92845,                0.99129,                0.94099,                0.96622,                0.67917,                 1.0733,                0.76328,                0.92016,             0.00019822,             0.00019822,             0.00019822
                      3,                 1.1005,                0.81614,                0.93496,                0.98349,                0.95031,                0.96609,                0.67935,                 1.0978,                0.69163,                0.93171,             0.00027268,             0.00027268,             0.00027268
                      4,                  1.079,                0.70648,                0.95771,                0.98354,                0.95314,                0.96535,                0.68575,                  1.034,                0.75852,                0.91868,             0.00032338,             0.00032338,             0.00032338
                      5,                 1.0774,                0.62637,                0.94395,                0.99328,                0.94231,                0.96603,                0.67041,                 1.0808,                0.67423,                0.92764,             0.00035032,             0.00035032,             0.00035032
                      6,                 1.0825,                0.63316,                0.92507,                0.98593,                0.93461,                0.97091,                0.67694,                 1.0235,                0.65598,                0.91149,              0.0003535,              0.0003535,              0.0003535
                      7,                 1.0863,                0.62963,                 0.9259,                0.98995,                0.94236,                0.97257,                0.70274,                 1.0201,                0.65654,                0.90834,             0.00033292,             0.00033292,             0.00033292
                      8,                 1.1078,                0.64695,                0.94179,                0.98661,                0.94896,                0.97279,                0.68606,                 1.0378,                0.64623,                  0.918,             0.00028858,             0.00028858,             0.00028858
                      9,                 1.0532,                0.62225,                0.93033,                0.98681,                0.95487,                0.97353,                0.69162,                 1.0079,                0.59125,                0.91225,             0.00022048,             0.00022048,             0.00022048
                     10,                  1.104,                0.70727,                 0.9455,                0.99009,                 0.9557,                0.97302,                0.69994,                0.99602,                0.57959,                0.90895,             0.00012862,             0.00012862,             0.00012862
